id  user_id  latitude          longitude         height            download_speed    upload_speed      ping  download_speed_sum  upload_speed_sum  ping_sum  measurement_count  building_name            timestamp                   color  
--  -------  ----------------  ----------------  ----------------  ----------------  ----------------  ----  ------------------  ----------------  --------  -----------------  -----------------------  --------------------------  -------
1            51.1097648874251  17.058033930775   121.816562492511  39.1764705882353  21.1176470588235  30    666.0               359.0             523       17                 D-21                     2025-06-23 14:52:25.189895  #E4A316
2            51.1098424980178  17.0579146318884  144.938077752332  34.0              14.0              211   68.0                28.0              422       2                  Politechnika Wrocławska  2025-06-23 14:43:32.775760  #B22D2D
3            51.1098751943058  17.0578646359767  144.938077752332  28.6              16.2              30    286.0               162.0             302       10                 Politechnika Wrocławska  2025-06-23 14:47:57.178256  #E4A316
4            51.1096531948167  17.0578265626686  144.938077752332  26.75             18.75             24    107.0               75.0              97        4                  D-21                     2025-06-23 14:53:46.147707  #E4A316
5            51.1095982562441  17.0578197529443  144.938077752332  30.96             17.2              30    774.0               430.0             763       25                 D-21                     2025-06-23 14:47:08.654802  #E4A316
6            51.1098068        17.0583941        168.200012207031  12.8888888888889  10.7777777777778  40    116.0               97.0              363       9                  D-21                     2025-06-23 14:50:57.215520  #B22D2D
7            51.1097248926159  17.058069457636   149.278077752332  37.6              19.4              47    188.0               97.0              239       5                  D-21                     2025-06-23 14:53:14.886959  #E4A316
8            51.109803701728   17.057992888752   150.398077752332  14.0              12.6666666666667  33    42.0                38.0              101       3                  D-21                     2025-06-23 14:53:17.093188  #B22D2D
9            51.1097105344654  17.0578448388328  150.398077752332  17.0              17.5              74    34.0                35.0              148       2                  D-21                     2025-06-23 14:54:19.949135  #B22D2D
10           51.109548         17.0576366        172.100006103516  17.0              10.0              54    51.0                30.0              164       3                  D-21                     2025-06-23 14:54:31.123509  #B22D2D
11           51.1094768109943  17.0577769720853  150.398077752332  11.0              16.5              56    22.0                33.0              112       2                  D-21                     2025-06-23 14:54:45.534667  #B22D2D
12           51.1095851        17.0575147        171.100006103516  21.0              12.0              43    21.0                12.0              43        1                  D-21                     2025-06-23 14:54:57.512473  #B22D2D
13           51.1095445914396  17.0577957627112  150.398077752332  42.1111111111111  20.8888888888889  41    379.0               188.0             370       9                  D-21                     2025-06-23 14:57:08.251577  #E4A316
