id  user_id  latitude          longitude         height            download_speed  upload_speed  ping  timestamp                   color
--  -------  ----------------  ----------------  ----------------  --------------  ------------  ----  --------------------------  -----
1            51.109885535541   17.0578444319407  122.899097597221  62.0            35.0          17    2025-05-29 12:33:14.889719  green
2            51.1097173305386  17.0578838494119  122.871757661918  52.0            34.0          16    2025-05-29 12:37:16.869333  green
3            51.1097651325801  17.0578726474042  122.871757661918  77.0            34.0          17    2025-05-29 12:37:50.848755  green
4            51.1098089065624  17.0578623893383  122.871757661918  54.0            36.0          17    2025-05-29 12:41:15.867364  green
5            51.1098853506747  17.0578444750697  122.899097597221  46.0            36.0          17    2025-05-29 12:43:34.704754  green
6            51.1098854354099  17.0578444553189  122.871757661918  62.0            36.0          17    2025-05-29 12:45:12.046867  green
7            51.1098855352586  17.0578444320454  122.871757661918  59.0            34.0          23    2025-05-29 12:45:55.850103  green
8            51.1096330111722  17.0578671830646  121.861409760237  24.0            26.0          18    2025-05-29 12:47:20.099373  green
9            51.1095966947083  17.0578701091536  121.861413574934  36.0            30.0          17    2025-05-29 12:48:12.168867  green
10           51.1098883228518  17.0578436735299  122.871753847221  61.0            34.0          16    2025-05-29 13:19:19.132436  green
11           51.1098883228836  17.0578436736788  122.899097597221  62.0            34.0          16    2025-05-29 13:24:51.005205  green
12           51.1098883228836  17.057843673679   122.871753847221  55.0            28.0          17    2025-05-29 13:25:49.294564  green
13           51.10959109281    17.0578545026188  121.861432648421  16.0            12.0          17    2025-05-29 13:27:09.820233  green
14           51.109584577362   17.0594788525197  124.30152416283   62.0            33.0          9     2025-05-29 13:29:48.472445  green
15           51.1095588302774  17.0596020232794  124.420122240904  78.0            33.0          17    2025-05-29 13:30:35.273676  green
16           51.1094628649113  17.059839360476   123.952547399675  37.0            24.0          640   2025-05-29 13:31:35.651923  green
17           51.1094529791358  17.0598677933606  124.420486038377  81.0            34.0          17    2025-05-29 13:35:35.958425  green
18           51.1094883636894  17.0597442752731  124.420585220506  73.0            17.0          17    2025-05-29 13:36:57.863969  green
19           51.109350619619   17.0603557303135  125.195110887778  3.0             8.0           155   2025-05-30 10:05:15.319244  red  
20           51.109351097583   17.060354412529   124.876434615669  2.0             7.0           122   2025-05-30 10:06:03.208153  red  
21           51.1091521684279  17.0601689196453  133.702231675997  6.0             9.0           46    2025-05-30 10:07:03.112671  red  
22           51.1091522124498  17.0601686768776  133.702780992403  11.0            10.0          113   2025-05-30 10:07:40.768525  green
23           51.109038957072   17.0607990550079  125.904447122954  55.0            19.0          17    2025-05-30 10:08:04.933937  green
24           51.1089967089809  17.0608881830883  125.896775421103  45.0            18.0          17    2025-05-30 10:08:24.600205  green
25           51.1089384520859  17.0610449937924  125.947633386135  41.0            14.0          18    2025-05-30 10:08:42.336237  green
26           51.1089973392671  17.0610121453639  125.956510197058  33.0            12.0          18    2025-05-30 10:09:04.272497  green
27           51.1091319946945  17.0602808208894  133.702780992403  6.0             11.0          53    2025-05-30 10:09:32.703822  red  
28           51.1090019890068  17.060561592275   129.280001831055  6.0             10.0          40    2025-05-30 10:11:27.262277  red  
29           51.1093602648455  17.0602896012248  125.390511988958  15.0            12.0          21    2025-05-30 10:11:39.649101  green
30           51.1090022240724  17.0605617160948  129.280001831055  7.0             18.0          23    2025-05-30 10:11:47.549700  red  
31           51.1093616655549  17.0602892758806  125.390523433049  7.0             13.0          18    2025-05-30 10:12:13.397997  red  
32           51.1089423023871  17.0603468271473  129.280001831055  3.0             8.0           18    2025-05-30 10:12:20.328265  red  
33           51.1091626818719  17.0601624150932  133.702780992403  5.0             10.0          32    2025-05-30 10:12:21.151197  red  
34           51.1089404422863  17.0603468178847  129.280001831055  41.0            27.0          17    2025-05-30 10:12:29.626989  green
35           51.1089389612968  17.0603468114075  129.280001831055  59.0            27.0          18    2025-05-30 10:12:37.492575  green
36           51.1089370359911  17.0603468030009  129.280001831055  60.0            26.0          17    2025-05-30 10:12:43.265967  green
37           51.1089355116067  17.0603467963469  129.280001831055  39.0            21.0          18    2025-05-30 10:12:50.185720  green
38           51.108934080751   17.0603467901011  129.280001831055  61.0            27.0          17    2025-05-30 10:12:57.080228  green
39           51.1089327395323  17.0603467842466  129.280001831055  50.0            25.0          18    2025-05-30 10:13:03.945819  green
40           51.1089314784717  17.0603467787421  129.280001831055  14.0            22.0          17    2025-05-30 10:13:12.129501  green
41           51.1089584809773  17.0610721471373  125.640667501614  59.0            19.0          17    2025-05-30 10:13:26.239215  green
42           51.1093578980546  17.0603138433468  124.876438430367  3.0             6.0           42    2025-05-30 10:13:32.429544  red  
43           51.1091194005418  17.0599575028874  129.280001831055  20.0            3.0           18    2025-05-30 10:13:42.573118  green
44           51.108969438725   17.061107785183   125.479614227186  18.0            14.0          18    2025-05-30 10:14:00.091228  green
45           51.1091403590717  17.0601622642808  129.280001831055  45.0            4.0           18    2025-05-30 10:14:00.288238  green
46           51.1091193895117  17.0599576110198  129.280001831055  50.0            3.0           115   2025-05-30 10:14:24.153213  green
47           51.1089934098821  17.0611947436293  125.555694300479  11.0            14.0          18    2025-05-30 10:14:32.285108  green
48           51.109119487618   17.0599573664813  129.280001831055  39.0            3.0           18    2025-05-30 10:14:48.939079  green
49           51.1091195131101  17.0599573224194  129.280001831055  51.0            3.0           18    2025-05-30 10:15:18.039542  green
50           51.1091194100519  17.0599574999106  129.280001831055  37.0            4.0           18    2025-05-30 10:15:33.073787  green
51           51.10911941       17.0599574999999  129.280001831055  51.0            5.0           18    2025-05-30 10:15:44.743456  green
52           51.10911941       17.0599575        129.280001831055  48.0            3.0           18    2025-05-30 10:16:08.938088  green
53           51.1089217376895  17.0603796080257  129.280001831055  43.0            5.0           42    2025-05-30 10:16:46.940224  green
54           51.1089279913138  17.0603466828931  129.280001831055  32.0            26.0          17    2025-05-30 10:18:14.399052  green
55           51.1089262335401  17.0603465411448  129.280001831055  67.0            29.0          17    2025-05-30 10:18:25.638300  green
56           51.1089239973027  17.0603464908701  129.280001831055  55.0            29.0          17    2025-05-30 10:18:50.840784  green
57           51.108923232623   17.0603466797373  129.280001831055  58.0            28.0          17    2025-05-30 10:18:55.009956  green
58           51.1089225830622  17.0603467193153  129.280001831055  27.0            9.0           22    2025-05-30 10:19:05.557741  green
59           51.1092328752649  17.0600261757828  124.808018296026  2.0             6.0           33    2025-05-30 10:21:38.929865  red  
60           51.1093487219119  17.0603600511319  124.87548475605   2.0             4.0           25    2025-05-30 10:22:42.515691  red  
